姓名	统率	武力	智力	政治	魅力	特技	枪兵	戟兵	弩兵	骑兵
刘备	75	73	74	78	99	遁走	A	B	A	B
张角	86	25	86	80	98	鬼门	A	S	A	C
曹操	96	72	91	94	96	虚实	S	S	A	A
孙権	76	67	80	89	95	指导	B	A	C	C
関羽	95	97	75	62	93	神将	S	S	B	A
荀彧	52	14	95	98	93	眼力	C	B	B	C
诸葛亮 92	38	100	95	92	神算	B	B	S	C
孙策	92	92	69	70	92	勇将	S	A	B	S
孙坚	93	90	74	73	91	驱逐	S	S	C	A
陆逊	96	69	95	87	90	鬼谋	A	S	S	C
袁绍	81	69	70	73	90	名声	A	C	A	C
鲁粛	80	56	92	90	89	富豪	A	A	A	C
司马懿 98	63	96	93	87	深谋	S	A	A	S
马良	46	23	85	90	86	能吏	C	C	B	C
程普	84	79	79	74	85	名声	A	A	A	B
荀攸	73	26	94	88	84	百出	B	B	B	B
吕蒙	91	81	89	78	82	心攻	S	A	B	B
马超	88	97	44	26	82	骑神	A	B	C	S
曹丕	70	71	83	86	82	射手	B	B	A	B
赵雲	91	96	76	65	81	洞察	S	B	S	S
夏侯惇 89	90	58	70	81	骑将	A	B	C	S
徐庶	84	64	93	80	81	精妙	S	A	A	A
黄蓋	79	83	65	65	81	火攻	B	A	S	C
姜维	90	89	90	67	80	反计	S	B	A	S
夏侯淵 87	91	54	61	80	急袭	B	B	S	S
李恢	79	65	78	77	80	機略	B	B	S	C
孟获	76	87	42	45	80	乱战	B	S	C	C
曹植	18	22	81	70	80	诗想	C	C	C	C
太史慈 82	93	66	58	79	戟神	A	S	C	S
张辽	93	92	78	58	78	威风	S	S	B	S
郭嘉	51	15	98	84	78	鬼谋	B	B	B	B
曹仁	89	86	56	46	76	铁壁	A	S	C	A
曹彰	82	90	40	35	76	疾走	A	B	C	S
黄忠	86	93	60	52	75	弓神	B	S	S	A
张郃	90	89	69	57	71	昂扬	A	B	C	S
徐晃	88	90	74	48	71	沈着	A	S	B	A
鄧艾	94	87	89	81	70	强行	S	A	A	A
庞德	80	94	70	44	70	白马	B	A	A	S
庞统	78	34	97	85	69	连环	B	B	C	C
陈宫	78	55	89	83	68	掎角	B	B	A	B
张苞	75	87	48	46	68	扫讨	S	A	B	A
马谡	61	67	87	68	67	百出	B	C	B	B
陈登	79	64	81	80	61	诡计	B	A	A	C
许褚	65	96	36	20	59	金刚	A	B	C	B
甘宁	86	94	76	18	58	威风	S	A	A	A
程昱	70	49	90	79	58	掎角	A	C	C	C
典韦	56	95	35	29	58	护卫	B	A	C	C
贾诩	86	48	97	85	57	反计	S	B	A	B
刘禅	3	5	9	4	56	强运	C	C	C	C
法正	82	47	94	78	55	待伏	C	C	A	C
于禁	84	78	70	57	53	规律	A	B	C	A
张飞	85	98	30	22	45	闘神	S	S	C	A
魏延	81	92	69	49	45	连战	A	S	B	A
吕布	87	100	26	13	40	飞将	A	S	S	S
袁术	44	65	61	16	39	妙计	B	C	C	C
董卓	74	87	69	19	37	徵税	C	C	A	A
